issue_key,comment_id,comment_created_datetimetz,comment_updated_datetimetz,comment_author_id,comment_author_name,comment_author_timezone,comment_author_update_id,comment_author_update_name,comment_author_update_timezone,comment_body,project
HELIX-737,16547172,2018-07-17T22:35:32.247+0000,2018-07-17T22:35:32.247+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1515 (See [https://builds.apache.org/job/helix/1515/])
[HELIX-737] Expose ExternalViews in RoutingTable and (narendly: rev 3ba447f97a10692981ad55525fc0e1ea55baf2b9)
* (edit) helix-core/src/main/java/org/apache/helix/spectator/RoutingTableProvider.java
* (edit) helix-core/src/main/java/org/apache/helix/spectator/RoutingTableSnapshot.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/spectator/TestRoutingTableSnapshot.java
* (edit) helix-core/src/main/java/org/apache/helix/spectator/RoutingTable.java
",helix
HELIX-736,16547170,2018-07-17T22:35:29.343+0000,2018-07-17T22:35:29.343+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1515 (See [https://builds.apache.org/job/helix/1515/])
[HELIX-736] Modify TestGetLastScheduledTaskTimestamp for increased (narendly: rev 047ad51e8b243dbbd268aa9ba954623949eba27d)
* (edit) helix-core/src/test/java/org/apache/helix/task/TestGetLastScheduledTaskTimestamp.java
",helix
HELIX-735,16547171,2018-07-17T22:35:30.551+0000,2018-07-17T22:35:30.551+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1515 (See [https://builds.apache.org/job/helix/1515/])
[HELIX-735] Make AssignmentCalculators non-static so that tests pass (narendly: rev cc625065bffced9a66566eeccb3055ec28a74611)
* (edit) helix-core/src/main/java/org/apache/helix/task/JobRebalancer.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestQuotaBasedScheduling.java
* (edit) helix-core/src/test/java/org/apache/helix/task/TestAssignableInstanceManagerControllerSwitch.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestTaskThrottling.java
",helix
HELIX-734,16547168,2018-07-17T22:35:28.357+0000,2018-07-17T22:35:28.357+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1515 (See [https://builds.apache.org/job/helix/1515/])
[HELIX-734] Fix test configs for TestRecoveryLoadBalance (narendly: rev 811222654a255924edef768bf5d4000c6f146f1f)
* (edit) helix-core/src/test/resources/TestRecoveryLoadBalance.OnlineOffline.json
* (edit) helix-core/src/test/resources/TestRecoveryLoadBalance.MasterSlave.json
",helix
HELIX-733,16545854,2018-07-16T23:18:18.118+0000,2018-07-16T23:18:18.118+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1514 (See [https://builds.apache.org/job/helix/1514/])
[HELIX-733] Fix TestAssignableInstanceManagerControllerSwitch (narendly: rev bd171f26d164dc33ac91fc393d11de269c2665b0)
* (edit) helix-core/src/test/java/org/apache/helix/task/TestAssignableInstanceManagerControllerSwitch.java
",helix
HELIX-732,16545641,2018-07-16T19:18:49.562+0000,2018-07-16T19:18:49.562+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"GitHub user narendly opened a pull request:

    https://github.com/apache/helix/pull/246

    [HELIX-732] Expose UserContentStore in TaskDriver

    There was a user request for this feature. The intended use is to allow for aggregation work reading from temporary data written by tasks, by allowing a get() of UserContentStore at the TaskDriver level. UserContentStore is a potentially useful feature that is currently under-utilized - this will enable Gobblin and other users of Task Framework to better utilize UserContentStore.
    
    Changelist:
    1. Add getUserContentStore() in TaskDriver
    2. Add TestUserContentStore, an integration test for this feature
    3. Add descriptive JavaDoc warning the user that get() and put() methods for UserContentStore is not thread-safe

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/narendly/helix master

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/helix/pull/246.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #246
    
----
commit cdf91ecdc63b80254b6775f7f12f98440081473a
Author: Hunter Lee <narendly@...>
Date:   2018-07-16T19:18:03Z

    [HELIX-732] Expose UserContentStore in TaskDriver
    
    There was a user request for this feature. The intended use is to allow for aggregation work reading from temporary data written by tasks, by allowing a get() of UserContentStore at the TaskDriver level. UserContentStore is a potentially useful feature that is currently under-utilized - this will enable Gobblin and other users of Task Framework to better utilize UserContentStore.
    
    Changelist:
    1. Add getUserContentStore() in TaskDriver
    2. Add TestUserContentStore, an integration test for this feature
    3. Add descriptive JavaDoc warning the user that get() and put() methods for UserContentStore is not thread-safe

----
",helix
HELIX-732,16545781,2018-07-16T21:57:16.071+0000,2018-07-16T21:57:16.071+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"Github user asfgit closed the pull request at:

    https://github.com/apache/helix/pull/246
",helix
HELIX-732,16545853,2018-07-16T23:18:14.655+0000,2018-07-16T23:18:14.655+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1514 (See [https://builds.apache.org/job/helix/1514/])
[HELIX-732] Expose UserContentStore in TaskDriver (narendly: rev 3ec93129e717185cd1db0fc40d09e7603d8aee5d)
* (edit) helix-core/src/main/java/org/apache/helix/task/TaskDriver.java
* (edit) helix-core/src/main/java/org/apache/helix/task/UserContentStore.java
* (add) helix-core/src/test/java/org/apache/helix/task/TestGetUserContentStore.java
* (edit) helix-core/src/main/java/org/apache/helix/task/TaskUtil.java
",helix
HELIX-731,16545852,2018-07-16T23:18:12.408+0000,2018-07-16T23:18:12.408+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1514 (See [https://builds.apache.org/job/helix/1514/])
[HELIX-731] Fix TestStateTransitionThrottle and comparison operator (narendly: rev 343f8dd33d49a74e6def97a9e58b4adf6b007ee3)
* (edit) helix-core/src/main/java/org/apache/helix/controller/stages/IntermediateStateCalcStage.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/TestStateTransitionThrottle.java
",helix
HELIX-730,16545636,2018-07-16T19:11:21.664+0000,2018-07-16T19:11:21.664+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1512 (See [https://builds.apache.org/job/helix/1512/])
[HELIX-730] Add ThreadCountBasedAssignmentCalculator and integrate with (narendly: rev 4db61b56e473b64ec9956f694dd2ac6a8d328ed4)
* (edit) helix-core/src/main/java/org/apache/helix/task/TaskRebalancer.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestWorkflowTimeout.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestJobTimeoutTaskNotStarted.java
* (add) helix-core/src/test/java/org/apache/helix/integration/task/TestQuotaBasedScheduling.java
* (add) helix-core/src/test/java/org/apache/helix/integration/task/TestTaskAssignmentCalculator.java
* (edit) helix-core/src/main/java/org/apache/helix/task/JobRebalancer.java
* (edit) helix-core/src/main/java/org/apache/helix/task/JobConfig.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestJobFailureTaskNotStarted.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestTaskRebalancer.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestTaskRebalancerRetryLimit.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestWorkflowJobDependency.java
* (edit) helix-core/src/test/java/org/apache/helix/task/TestSemiAutoStateTransition.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestJobFailure.java
* (edit) helix-core/src/main/java/org/apache/helix/task/assigner/ThreadCountBasedTaskAssigner.java
* (edit) helix-core/src/main/java/org/apache/helix/task/FixedTargetTaskAssignmentCalculator.java
* (edit) helix-core/src/main/java/org/apache/helix/task/AbstractTaskDispatcher.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/controller/TestTargetExternalView.java
* (edit) helix-core/src/main/java/org/apache/helix/task/WorkflowRebalancer.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestIndependentTaskRebalancer.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestWorkflowTermination.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/TestBatchEnableInstances.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestJobTimeout.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestJobFailureHighThreshold.java
* (edit) helix-core/src/main/java/org/apache/helix/task/assigner/AssignableInstance.java
* (edit) helix-core/src/main/java/org/apache/helix/controller/stages/ClusterDataCache.java
* (edit) helix-core/src/main/java/org/apache/helix/task/TaskAssignmentCalculator.java
* (edit) helix-core/src/main/java/org/apache/helix/model/ClusterConfig.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestDeleteWorkflow.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestRebalanceRunningTask.java
* (edit) helix-core/src/main/java/org/apache/helix/task/AssignableInstanceManager.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/TestStateTransitionCancellation.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/controller/TestClusterMaintenanceMode.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestTaskRetryDelay.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/manager/TestZkHelixAdmin.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestStopWorkflow.java
* (edit) helix-core/src/test/java/org/apache/helix/integration/task/TestTaskRebalancerFailover.java
* (add) helix-core/src/main/java/org/apache/helix/task/ThreadCountBasedTaskAssignmentCalculator.java
* (edit) helix-core/src/main/java/org/apache/helix/task/TaskUtil.java
* (delete) helix-core/src/test/java/org/apache/helix/integration/task/TestGenericTaskAssignmentCalculator.java
* (edit) helix-core/src/test/java/org/apache/helix/task/TaskSynchronizedTestBase.java
",helix
HELIX-726,16539064,2018-07-10T18:27:15.050+0000,2018-07-10T18:27:15.050+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"GitHub user jiajunwang opened a pull request:

    https://github.com/apache/helix/pull/233

    [HELIX-726][HELIX-727] Helix monitor metrics improvement

    Contains 2 changes that improve Helix monitoring.

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/jiajunwang/helix master

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/helix/pull/233.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #233
    
----
commit 505524cf0484df0000e83433862e8f59345899d2
Author: Jiajun Wang <jjwang@...>
Date:   2018-05-26T06:30:11Z

    Add new monitor metrics for state transitions.
    
    ClusterStatus: MissingMinActiveReplicaPartitionGauge
    ClusterStatus: TotalResourceGauge
    ClusterStatus/ResourceStatus: PendingStateTransitionsGauge
    ClusterStatus: StateTransitionsCounter

commit 93eea714d2a9607c1808a342957e59698a96f543
Author: Jiajun Wang <jjwang@...>
Date:   2018-05-30T00:09:28Z

    Fix resource monitor race condition.
    
    The async monitor processing may cause resource mbean deleting failure. This will leave unnecessary mbean in the mbean server.

----
",helix
HELIX-726,16539070,2018-07-10T18:32:56.123+0000,2018-07-10T18:32:56.123+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"Github user asfgit closed the pull request at:

    https://github.com/apache/helix/pull/233
",helix
HELIX-723,16539124,2018-07-10T19:19:30.868+0000,2018-07-10T19:19:30.868+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1497 (See [https://builds.apache.org/job/helix/1497/])
[HELIX-723] Remove null statement from (narendly: rev c35551c374a852d89b4ccbe5efd43cb395e33a68)
* (edit) helix-core/src/test/java/org/apache/helix/task/TestAssignableInstanceManagerControllerSwitch.java
",helix
HELIX-722,16539123,2018-07-10T19:19:30.058+0000,2018-07-10T19:19:30.058+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1497 (See [https://builds.apache.org/job/helix/1497/])
[HELIX-722] Add quotaType field to WorkflowConfig and JobConfig (narendly: rev 35fcfa0ec38e382cb7d4d981abdd4b5dcea11338)
* (edit) helix-core/src/main/java/org/apache/helix/task/beans/JobBean.java
* (edit) helix-core/src/main/java/org/apache/helix/task/beans/WorkflowBean.java
* (edit) helix-core/src/main/java/org/apache/helix/task/WorkflowConfig.java
* (edit) helix-core/src/main/java/org/apache/helix/task/JobConfig.java
",helix
HELIX-721,16539122,2018-07-10T19:19:29.191+0000,2018-07-10T19:19:29.191+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1497 (See [https://builds.apache.org/job/helix/1497/])
[HELIX-721] Clean up code in ClusterDataCache (narendly: rev 698532598f2cb10d0eb1c67f3961cdd6219db965)
* (edit) helix-core/src/main/java/org/apache/helix/controller/stages/ClusterDataCache.java
* (edit) helix-core/src/main/java/org/apache/helix/common/caches/TaskDataCache.java
",helix
HELIX-720,16537866,2018-07-10T01:28:00.391+0000,2018-07-10T01:28:00.391+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1496 (See [https://builds.apache.org/job/helix/1496/])
[HELIX-720] [TASK] Implement AssignableInstanceManager (narendly: rev 034424cc4852bda55e74ddbbf42db4c7f293262c)
* (add) helix-core/src/test/java/org/apache/helix/task/TestAssignableInstanceManager.java
* (add) helix-core/src/main/java/org/apache/helix/task/AssignableInstanceManager.java
* (add) helix-core/src/test/java/org/apache/helix/task/TestAssignableInstanceManagerControllerSwitch.java
* (edit) helix-core/src/test/java/org/apache/helix/task/assigner/TestAssignableInstance.java
* (edit) helix-core/src/main/java/org/apache/helix/task/assigner/AssignableInstance.java
",helix
HELIX-719,16537806,2018-07-09T23:56:29.889+0000,2018-07-09T23:56:29.889+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"GitHub user narendly opened a pull request:

    https://github.com/apache/helix/pull/226

    [HELIX-719] [HELIX] Verify downward load balance and fix TestPartitio…

    …nMovementThrottle
    
    TestPartitionMovementThrottle was failing after the improvement was made in IntermediateCalcStage so that downward load balance will take place while recovery balance is happening. In the process of fixing the test,
    1. It was verified by hand that downward load balance is being correctly throttled as defined by the user in StateTransitionThrottleConfig.
    2. An appropriate parameter adjustment was made to account for both recovery and load balance happening in the same pipeline iteration.

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/narendly/helix d

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/helix/pull/226.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #226
    
----
commit 13c39dac7aca7920f75d62a6c19f03c319d8e6cf
Author: Hunter Lee <narendly@...>
Date:   2018-07-09T23:56:08Z

    [HELIX-719] [HELIX] Verify downward load balance and fix TestPartitionMovementThrottle
    
    TestPartitionMovementThrottle was failing after the improvement was made in IntermediateCalcStage so that downward load balance will take place while recovery balance is happening. In the process of fixing the test,
    1. It was verified by hand that downward load balance is being correctly throttled as defined by the user in StateTransitionThrottleConfig.
    2. An appropriate parameter adjustment was made to account for both recovery and load balance happening in the same pipeline iteration.

----
",helix
HELIX-719,16539236,2018-07-10T21:17:28.800+0000,2018-07-10T21:17:28.800+0000,githubbot,ASF GitHub Bot,Etc/UTC,githubbot,ASF GitHub Bot,Etc/UTC,"Github user asfgit closed the pull request at:

    https://github.com/apache/helix/pull/226
",helix
HELIX-719,16539260,2018-07-10T21:30:01.413+0000,2018-07-10T21:30:01.413+0000,hudson,Hudson,Etc/UTC,hudson,Hudson,Etc/UTC,"FAILURE: Integrated in Jenkins build helix #1498 (See [https://builds.apache.org/job/helix/1498/])
[HELIX-719] [HELIX] Verify downward load balance and fix (narendly: rev 030706c96968745c8b459f745ddc31e8458ddf99)
* (edit) helix-core/src/test/java/org/apache/helix/integration/TestPartitionMovementThrottle.java
",helix
